FirstName1, LastName1, associate 78919.96
FirstName2, LastName2, assistant 66049.81
FirstName3, LastName3, associate 97314.00
FirstName4, LastName4, full profesor 87610.92
FirstName5, LastName5, assistant 59503.08
FirstName6, LastName6, assistant 63220.71
FirstName7, LastName7, assistant 67043.06
FirstName8, LastName8, full profesor 82929.56
FirstName9, LastName9, full profesor 92353.72
FirstName10, LastName10, assistant 53680.88
FirstName11, LastName11, full profesor 92323.68
FirstName12, LastName12, full profesor 109502.46
FirstName13, LastName13, associate 86303.28
FirstName14, LastName14, full profesor 83690.58
FirstName15, LastName15, assistant 55651.34
FirstName16, LastName16, associate 78832.13
FirstName17, LastName17, full profesor 112517.45
FirstName18, LastName18, associate 100454.44
FirstName19, LastName19, full profesor 122728.75
FirstName20, LastName20, full profesor 77509.49
FirstName21, LastName21, associate 71471.07
FirstName22, LastName22, associate 90324.20
FirstName23, LastName23, assistant 70474.73
FirstName24, LastName24, full profesor 102684.13
FirstName25, LastName25, full profesor 94197.05
FirstName26, LastName26, assistant 73973.47
FirstName27, LastName27, associate 107624.96
FirstName28, LastName28, assistant 54308.84
FirstName29, LastName29, full profesor 115593.40
FirstName30, LastName30, assistant 60426.55
FirstName31, LastName31, assistant 79615.22
FirstName32, LastName32, associate 87212.50
FirstName33, LastName33, assistant 57816.91
FirstName34, LastName34, assistant 61600.41
FirstName35, LastName35, assistant 64382.27
FirstName36, LastName36, associate 61333.23
FirstName37, LastName37, full profesor 120780.39
FirstName38, LastName38, assistant 59986.26
FirstName39, LastName39, full profesor 90632.16
FirstName40, LastName40, assistant 77522.45
FirstName41, LastName41, assistant 54580.43
FirstName42, LastName42, associate 63101.12
FirstName43, LastName43, assistant 74583.67
FirstName44, LastName44, associate 88072.66
FirstName45, LastName45, associate 67306.71
FirstName46, LastName46, full profesor 120863.74
FirstName47, LastName47, assistant 67314.90
FirstName48, LastName48, assistant 61670.95
FirstName49, LastName49, full profesor 87553.47
FirstName50, LastName50, full profesor 123869.02
FirstName51, LastName51, associate 84208.81
FirstName52, LastName52, associate 89292.92
FirstName53, LastName53, full profesor 116678.23
FirstName54, LastName54, associate 104545.47
FirstName55, LastName55, assistant 52988.18
FirstName56, LastName56, associate 68410.94
FirstName57, LastName57, assistant 58676.16
